pH,Soil EC (dS/m),Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),Moisture (%),Temperature (°C),Crop
6.67,1.71,62.31,57.1,117.67,42.11,21.65,Lettuce
6.06,1.11,53.1,48.92,106.7,46.39,15.54,Lettuce
6.11,1.34,64.24,54.94,137.94,57.15,17.33,Lettuce
6.36,1.02,58.44,54.34,196.1,56.75,17.15,Lettuce
6.09,1.11,68.55,34.93,101.26,45.5,16.3,Lettuce
6.44,2.0,57.13,39.82,184.18,41.07,21.87,Lettuce
6.24,1.01,69.92,39.45,118.06,54.29,18.09,Lettuce
6.44,1.31,61.61,33.26,174.07,43.57,19.74,Lettuce
6.03,1.82,52.83,31.69,107.31,42.02,19.8,Lettuce
6.65,1.44,63.66,43.38,122.5,41.82,20.14,Lettuce
6.41,1.97,58.54,59.95,168.07,58.44,19.78,Lettuce
6.49,1.82,53.47,33.67,124.38,50.3,17.39,Lettuce
6.15,1.35,63.36,57.24,166.55,40.41,17.35,Lettuce
6.28,1.73,67.78,59.7,173.81,42.65,21.22,Lettuce
6.49,1.08,62.46,50.94,100.77,47.09,16.35,Lettuce
6.07,1.34,63.62,34.19,103.58,41.41,21.7,Lettuce
6.77,1.09,54.76,44.47,170.12,55.61,21.87,Lettuce
6.42,1.55,58.26,50.13,137.75,47.43,15.18,Lettuce
6.26,1.78,63.64,33.57,107.17,46.54,21.16,Lettuce
6.77,1.86,64.75,47.8,113.82,41.98,15.65,Lettuce
6.24,1.57,67.34,49.82,148.32,47.76,20.21,Lettuce
6.79,1.72,68.43,57.54,107.97,50.07,16.74,Lettuce
6.21,1.41,65.05,57.8,107.51,49.96,16.46,Lettuce
6.07,1.08,50.2,33.52,149.05,54.94,15.2,Lettuce
6.31,1.09,54.49,53.51,199.28,43.91,15.49,Lettuce
6.32,1.23,53.54,46.45,133.46,44.74,16.09,Lettuce
6.04,1.65,59.78,32.99,143.29,55.84,19.24,Lettuce
6.34,1.54,55.14,43.58,180.55,51.64,15.13,Lettuce
6.57,1.49,52.29,47.93,182.99,53.16,19.37,Lettuce
6.02,1.64,50.28,40.93,168.42,44.22,15.39,Lettuce
6.58,1.47,68.37,38.94,127.17,40.91,15.34,Lettuce
6.03,1.65,57.56,53.16,178.44,52.09,17.63,Lettuce
6.13,1.7,59.71,41.5,142.55,57.11,21.62,Lettuce
6.36,1.28,67.78,36.89,130.19,48.86,19.47,Lettuce
6.18,1.82,63.18,58.29,186.75,51.04,16.47,Lettuce
6.39,1.02,52.57,31.5,101.87,53.2,16.17,Lettuce
6.15,1.88,50.7,50.81,108.99,54.45,20.5,Lettuce
6.32,1.39,55.03,57.05,189.97,55.86,20.33,Lettuce
6.63,1.72,63.26,38.7,118.12,58.47,19.83,Lettuce
6.78,1.89,58.35,57.03,178.46,42.22,16.32,Lettuce
6.34,1.42,65.62,36.48,168.36,44.11,16.91,Lettuce
6.64,1.55,58.26,54.64,194.04,53.9,18.68,Lettuce
6.44,1.9,55.89,42.01,185.36,55.8,17.92,Lettuce
6.65,1.42,59.19,42.61,106.02,54.18,20.97,Lettuce
6.7,1.53,61.96,59.12,162.39,44.39,20.34,Lettuce
6.78,1.35,55.07,47.42,153.94,42.35,21.08,Lettuce
6.37,1.14,63.7,48.8,171.2,48.42,16.43,Lettuce
6.43,1.93,69.03,53.76,111.0,53.46,21.71,Lettuce
6.26,1.79,69.05,43.86,185.9,47.9,21.73,Lettuce
6.77,1.36,63.7,43.44,132.31,58.47,21.4,Lettuce
6.56,1.4,56.93,39.67,128.3,42.17,16.21,Lettuce
6.33,1.23,59.89,44.53,181.25,45.29,17.93,Lettuce
6.51,1.57,65.12,48.99,167.43,44.16,18.11,Lettuce
6.19,1.44,58.18,56.22,123.09,58.47,18.05,Lettuce
6.59,1.89,65.15,56.33,194.13,55.98,17.63,Lettuce
6.66,1.95,66.55,47.69,178.07,53.12,15.0,Lettuce
6.31,1.84,52.15,39.31,147.85,55.47,17.2,Lettuce
6.25,1.08,62.98,49.85,100.57,53.93,21.36,Lettuce
6.78,1.14,64.09,53.37,166.01,53.95,19.75,Lettuce
6.66,1.35,62.6,47.04,184.64,42.6,21.01,Lettuce
6.72,1.32,51.66,54.23,143.28,44.33,18.11,Lettuce
6.21,1.17,65.96,36.21,168.2,59.9,19.38,Lettuce
6.72,1.71,58.06,38.67,105.82,45.73,20.15,Lettuce
6.46,1.49,54.56,59.08,184.54,47.23,15.13,Lettuce
6.42,1.54,53.83,49.09,144.91,57.04,17.44,Lettuce
6.73,1.7,58.07,57.2,113.63,43.02,16.56,Lettuce
6.72,1.25,69.81,53.1,142.38,44.34,15.89,Lettuce
6.69,1.32,58.66,54.62,118.82,55.16,17.76,Lettuce
6.78,1.53,62.21,59.93,198.26,40.47,19.0,Lettuce
6.48,1.49,62.5,32.73,166.25,42.77,15.43,Lettuce
6.19,1.99,58.25,30.55,144.73,40.12,17.51,Lettuce
6.42,1.49,55.95,57.31,188.92,43.16,20.01,Lettuce
6.5,1.79,68.78,55.74,173.78,49.7,15.13,Lettuce
6.24,1.69,51.7,38.59,199.32,52.92,21.79,Lettuce
6.73,1.69,59.85,54.43,138.49,58.77,21.82,Lettuce
6.2,1.38,53.74,56.13,148.76,56.96,19.4,Lettuce
6.3,1.3,56.77,43.38,139.92,45.56,15.33,Lettuce
6.05,1.79,68.63,41.57,139.63,49.69,19.37,Lettuce
6.02,1.52,60.74,34.02,173.21,55.63,18.39,Lettuce
6.26,1.17,63.97,33.9,185.33,49.3,17.71,Lettuce
6.73,1.25,60.49,42.89,190.16,55.21,20.62,Lettuce
6.21,1.92,54.25,30.99,118.95,41.99,15.11,Lettuce
6.11,1.06,53.98,40.91,195.29,46.32,18.86,Lettuce
6.33,1.48,57.95,42.14,177.21,55.9,19.77,Lettuce
6.64,1.85,62.51,32.7,176.55,45.3,16.27,Lettuce
6.38,1.87,67.17,51.91,185.26,46.45,20.07,Lettuce
6.17,1.1,68.88,41.52,166.34,52.56,19.79,Lettuce
6.39,1.58,66.08,46.6,172.14,41.32,15.61,Lettuce
6.02,1.34,55.26,47.8,111.07,57.89,19.24,Lettuce
6.55,1.29,67.53,58.73,140.73,43.31,20.65,Lettuce
6.68,1.8,68.67,43.39,118.75,48.21,18.44,Lettuce
6.2,1.15,69.67,33.74,158.09,41.38,15.93,Lettuce
6.11,1.2,67.01,54.79,163.53,58.88,17.9,Lettuce
6.48,1.55,63.86,56.38,175.64,48.0,15.08,Lettuce
6.44,1.97,61.45,33.08,141.35,47.2,19.15,Lettuce
6.44,1.48,66.6,31.69,134.51,41.6,18.87,Lettuce
6.36,1.21,51.35,53.4,178.79,52.56,18.43,Lettuce
6.08,1.68,56.17,34.92,105.21,58.1,15.22,Lettuce
6.73,1.07,67.69,46.55,180.33,59.68,16.2,Lettuce
6.75,1.74,55.78,53.97,152.78,45.97,21.71,Lettuce
6.19,1.74,52.5,45.41,156.41,43.46,16.61,Lettuce
6.69,1.41,60.99,36.11,150.97,43.81,16.12,Lettuce
6.25,1.5,51.26,37.28,148.5,59.58,16.81,Lettuce
6.69,1.87,55.08,32.06,103.17,53.06,19.37,Lettuce
6.23,1.84,58.76,39.17,136.99,49.32,18.96,Lettuce
6.11,1.68,60.94,45.71,193.74,56.92,15.5,Lettuce
6.63,1.97,68.01,33.01,177.02,57.84,20.7,Lettuce
6.67,1.77,54.42,46.65,128.42,52.63,18.43,Lettuce
6.65,1.29,69.99,52.81,132.22,59.56,15.87,Lettuce
6.02,1.48,68.34,53.16,170.23,49.36,17.62,Lettuce
6.68,1.38,69.71,47.23,198.95,55.21,16.03,Lettuce
6.04,1.31,50.17,56.0,105.23,56.3,21.13,Lettuce
6.39,1.72,54.81,56.17,106.31,56.7,15.1,Lettuce
6.4,1.01,66.63,31.12,168.99,48.19,19.87,Lettuce
6.04,1.0,54.58,39.41,196.23,57.49,18.26,Lettuce
6.07,1.37,50.33,51.34,199.03,54.36,19.4,Lettuce
6.07,1.53,58.91,34.91,196.59,54.61,20.07,Lettuce
6.03,1.14,53.88,37.7,118.35,51.24,18.89,Lettuce
6.54,1.93,51.45,37.36,123.96,47.77,20.75,Lettuce
6.8,1.98,57.88,34.29,156.69,44.23,17.56,Lettuce
6.26,1.6,57.39,31.43,134.79,50.05,16.72,Lettuce
6.42,1.34,57.83,46.53,190.93,46.91,19.8,Lettuce
6.27,1.83,56.67,30.68,184.56,44.15,20.02,Lettuce
6.12,1.18,62.68,44.12,181.27,48.91,20.97,Lettuce
6.47,1.79,64.5,42.95,109.11,53.77,16.06,Lettuce
6.38,1.28,53.03,48.66,168.97,45.53,18.63,Lettuce
6.01,1.25,68.57,39.74,142.8,54.78,16.64,Lettuce
6.28,1.99,57.18,45.19,198.12,51.26,15.02,Lettuce
6.66,1.35,66.53,53.07,166.72,46.68,19.18,Lettuce
6.63,1.53,61.48,41.06,163.82,58.93,21.36,Lettuce
6.43,1.73,66.75,40.54,197.06,40.57,21.49,Lettuce
6.05,1.5,64.29,39.55,119.91,50.74,18.73,Lettuce
6.24,1.82,65.3,49.33,115.24,44.52,21.51,Lettuce
6.13,1.03,66.9,49.29,178.48,50.21,16.47,Lettuce
6.54,1.3,58.27,47.66,182.72,55.83,15.89,Lettuce
6.56,1.15,64.15,56.54,152.74,42.32,21.13,Lettuce
6.68,1.78,57.82,31.12,179.83,42.43,20.49,Lettuce
6.7,1.1,59.86,47.57,119.32,59.45,19.92,Lettuce
6.24,1.97,54.31,44.69,174.82,46.81,16.93,Lettuce
6.66,1.87,61.88,51.08,171.35,53.3,20.9,Lettuce
6.28,1.87,68.66,49.36,147.05,49.61,21.66,Lettuce
6.44,1.41,57.6,48.38,166.85,44.52,17.38,Lettuce
6.76,1.53,60.3,35.86,128.88,46.71,18.07,Lettuce
6.16,1.83,50.01,43.05,164.87,49.11,15.6,Lettuce
6.11,1.0,68.02,49.7,159.7,57.44,19.64,Lettuce
6.32,1.47,60.93,36.48,127.0,57.65,15.67,Lettuce
6.77,1.55,54.2,40.56,188.63,59.53,17.07,Lettuce
6.67,1.72,59.52,51.33,155.55,45.4,21.75,Lettuce
6.34,1.15,53.0,38.5,196.17,45.63,21.76,Lettuce
6.38,1.61,59.86,35.56,106.35,44.44,15.25,Lettuce
6.56,1.36,54.71,31.71,107.23,55.7,16.79,Lettuce
6.49,1.99,59.44,35.89,163.93,53.51,17.74,Lettuce
6.11,1.28,55.82,33.33,108.44,48.95,15.66,Lettuce
6.56,1.61,56.61,47.48,177.09,52.04,18.96,Lettuce
6.02,1.35,69.4,34.93,163.25,43.14,20.02,Lettuce
6.39,1.73,50.96,59.06,158.27,49.15,20.39,Lettuce
6.14,1.89,52.91,35.18,121.32,49.06,20.4,Lettuce
6.32,1.96,57.81,48.4,137.22,42.0,15.79,Lettuce
6.62,1.2,55.91,53.13,100.53,51.48,21.91,Lettuce
6.09,1.4,61.9,52.28,134.99,46.47,18.09,Lettuce
6.28,1.64,67.57,48.2,120.86,57.37,20.56,Lettuce
6.43,1.61,63.38,59.24,107.57,41.64,18.71,Lettuce
6.54,1.38,50.91,50.33,193.03,51.14,21.05,Lettuce
6.14,1.05,64.62,46.82,188.24,44.68,20.91,Lettuce
6.05,1.01,58.85,42.39,185.21,45.16,18.86,Lettuce
6.09,1.6,55.32,33.9,113.48,46.28,21.28,Lettuce
6.52,1.87,57.55,58.71,164.19,49.98,19.28,Lettuce
6.46,1.5,65.61,57.92,155.63,47.61,21.83,Lettuce
6.43,1.23,59.45,34.64,106.79,49.39,20.37,Lettuce
6.25,1.36,65.93,58.89,184.66,51.03,21.36,Lettuce
6.38,1.3,62.31,36.41,176.21,42.14,20.31,Lettuce
6.37,1.5,60.74,46.81,178.3,51.43,17.19,Lettuce
6.15,1.58,65.88,58.61,161.72,51.38,21.99,Lettuce
6.42,1.57,63.4,40.33,187.79,53.79,18.36,Lettuce
6.36,1.55,68.63,38.09,193.85,50.33,15.19,Lettuce
6.42,1.13,55.29,34.93,177.14,47.65,17.37,Lettuce
6.27,1.42,56.77,40.52,165.11,45.94,16.23,Lettuce
6.58,1.02,54.33,42.55,126.75,54.87,16.5,Lettuce
6.78,1.62,52.22,39.36,122.49,48.01,17.45,Lettuce
6.15,1.04,69.0,47.34,118.35,49.57,16.09,Lettuce
6.38,1.97,56.29,39.07,127.29,45.07,21.25,Lettuce
6.04,1.03,51.82,53.65,165.52,48.37,21.73,Lettuce
6.17,1.03,60.51,36.44,140.37,48.68,17.55,Lettuce
6.52,1.02,51.13,38.1,148.91,44.18,17.5,Lettuce
6.7,1.47,68.47,41.71,107.01,48.45,15.38,Lettuce
6.75,1.28,54.6,58.72,161.15,40.01,17.25,Lettuce
6.05,1.65,64.14,53.65,165.75,55.42,15.17,Lettuce
6.45,1.74,67.16,57.49,177.77,56.29,18.68,Lettuce
6.2,1.17,53.63,59.61,103.95,47.73,17.17,Lettuce
6.05,1.56,52.81,33.03,167.06,49.06,18.8,Lettuce
6.3,1.69,60.57,51.46,106.56,41.53,17.81,Lettuce
6.63,1.34,65.7,52.39,119.29,42.09,21.0,Lettuce
6.25,1.38,60.07,42.8,175.87,58.16,20.04,Lettuce
6.3,1.98,59.51,32.33,136.96,58.12,17.45,Lettuce
6.15,1.09,65.49,46.32,165.45,43.62,16.91,Lettuce
6.42,1.59,51.64,56.35,177.19,41.17,17.29,Lettuce
6.24,1.28,69.72,57.07,161.33,43.95,18.54,Lettuce
6.59,1.58,54.42,30.3,143.68,54.02,20.78,Lettuce
6.34,1.14,55.89,58.29,181.33,49.11,19.03,Lettuce
6.8,1.19,61.95,46.61,122.7,51.77,15.31,Lettuce
6.08,1.52,67.57,41.74,104.35,56.27,18.83,Lettuce
6.64,1.86,63.49,32.04,104.78,41.25,19.66,Lettuce
6.33,1.14,68.75,36.77,199.29,52.81,16.02,Lettuce
6.43,1.5,65.76,53.9,151.17,48.23,20.99,Lettuce
6.43,1.9,66.37,36.68,123.42,57.87,16.66,Lettuce
6.72,1.12,69.14,46.32,119.66,53.77,21.89,Lettuce
6.74,1.93,54.64,37.16,167.15,56.78,21.87,Lettuce
6.21,1.71,52.94,57.58,103.87,49.27,15.57,Lettuce
6.66,1.83,69.07,40.8,150.75,53.99,18.26,Lettuce
6.33,1.52,67.24,43.54,115.06,53.48,16.4,Lettuce
6.41,1.69,54.09,53.91,142.43,47.64,16.36,Lettuce
6.8,2.0,57.79,30.81,124.72,47.68,20.8,Lettuce
6.05,1.14,57.88,50.91,107.34,40.88,19.46,Lettuce
6.01,1.8,68.17,43.0,120.05,47.63,17.81,Lettuce
6.4,1.96,64.14,51.26,124.53,57.94,16.53,Lettuce
6.78,1.66,59.97,38.81,193.52,45.3,17.47,Lettuce
6.35,1.45,55.03,58.63,165.49,52.59,15.16,Lettuce
6.11,1.13,65.4,56.47,189.55,52.93,16.97,Lettuce
6.16,1.95,56.32,43.81,108.93,58.59,18.81,Lettuce
6.5,1.46,60.32,42.72,162.0,49.09,16.85,Lettuce
6.22,1.75,69.15,48.58,162.8,47.74,15.53,Lettuce
6.52,1.88,66.07,40.89,162.03,46.07,20.22,Lettuce
6.37,1.42,58.59,41.49,187.96,57.42,15.46,Lettuce
6.07,1.76,55.08,52.69,154.73,44.18,16.85,Lettuce
6.57,1.64,63.62,37.88,152.54,52.69,18.55,Lettuce
6.23,1.71,57.38,40.23,113.83,52.82,18.89,Lettuce
6.38,1.98,53.52,46.92,171.52,54.27,18.23,Lettuce
6.42,2.0,50.2,50.15,178.02,53.38,19.22,Lettuce
6.76,1.52,60.63,57.04,110.13,45.45,18.48,Lettuce
6.03,1.05,69.97,59.1,196.06,48.57,21.54,Lettuce
6.54,1.58,60.31,36.4,161.49,59.89,16.35,Lettuce
6.05,1.6,69.74,54.75,147.97,59.46,16.61,Lettuce
6.31,1.15,54.42,34.15,136.32,44.34,16.78,Lettuce
6.03,1.61,59.89,36.05,135.75,41.02,21.79,Lettuce
6.33,1.58,52.45,47.62,170.94,52.62,21.25,Lettuce
6.28,1.56,53.53,49.36,172.69,57.95,15.23,Lettuce
6.78,1.63,69.56,42.93,134.12,55.91,18.42,Lettuce
6.36,1.71,53.49,37.64,179.85,50.25,17.24,Lettuce
6.35,1.66,59.21,40.03,130.96,42.44,16.57,Lettuce
6.55,1.15,65.19,42.39,175.83,45.14,17.01,Lettuce
6.03,1.92,68.13,50.08,141.46,48.98,21.89,Lettuce
6.27,1.53,55.5,44.7,159.44,53.23,16.56,Lettuce
6.39,1.46,50.32,38.39,190.38,43.98,17.24,Lettuce
6.37,1.52,53.32,35.68,174.22,58.58,20.2,Lettuce
6.78,1.76,65.39,30.6,138.66,44.84,20.42,Lettuce
6.45,1.72,55.62,40.92,136.39,48.93,20.21,Lettuce
6.53,1.23,57.34,47.32,110.88,54.88,16.68,Lettuce
6.04,1.13,57.47,40.37,189.45,55.82,21.94,Lettuce
6.73,1.4,59.73,58.81,189.23,57.4,20.03,Lettuce
6.46,1.77,59.29,53.18,149.8,59.35,15.79,Lettuce
6.08,1.74,52.28,52.47,115.93,59.58,21.38,Lettuce
6.56,1.49,51.89,59.27,179.17,57.1,20.59,Lettuce
6.67,1.61,60.28,39.69,131.59,47.67,15.69,Lettuce
6.79,1.15,60.5,32.27,105.32,42.53,18.64,Lettuce
6.52,1.15,53.23,43.42,160.01,52.55,20.0,Lettuce
6.33,1.03,59.69,53.95,163.95,50.62,15.08,Lettuce
6.24,1.32,67.7,54.72,160.08,41.07,18.79,Lettuce
6.74,1.72,59.15,51.26,132.43,40.21,21.86,Lettuce
6.52,1.44,69.7,53.0,136.9,53.01,16.64,Lettuce
6.33,1.71,58.53,45.03,175.08,57.83,16.28,Lettuce
6.43,1.35,58.18,31.89,170.17,45.3,21.14,Lettuce
6.07,1.81,63.46,38.41,150.11,59.6,21.99,Lettuce
6.7,1.12,62.69,57.5,172.6,45.32,16.25,Lettuce
6.29,1.09,56.0,36.16,190.42,44.98,16.45,Lettuce
6.33,1.52,57.89,37.37,124.32,50.69,19.43,Lettuce
6.14,1.1,51.08,55.44,107.68,48.41,17.78,Lettuce
6.27,1.89,55.07,43.35,156.77,49.03,17.5,Lettuce
6.39,1.18,55.34,33.12,180.96,59.66,20.33,Lettuce
6.3,1.54,63.54,47.81,174.58,43.08,17.65,Lettuce
6.37,1.21,55.56,31.29,176.14,52.46,21.01,Lettuce
6.26,1.16,69.97,38.49,178.83,40.08,16.37,Lettuce
6.45,1.55,52.92,54.26,130.06,48.52,20.57,Lettuce
6.54,1.92,57.68,53.86,118.37,55.22,15.8,Lettuce
6.35,1.05,69.46,47.32,138.47,43.32,18.28,Lettuce
6.14,1.45,65.31,38.61,117.07,41.84,19.3,Lettuce
6.3,1.75,56.54,51.01,153.82,49.22,21.46,Lettuce
6.2,1.74,68.8,58.48,116.2,53.98,18.6,Lettuce
6.22,1.08,51.29,58.88,107.99,47.96,17.92,Lettuce
6.05,1.44,54.16,52.1,131.27,45.39,17.31,Lettuce
6.52,1.76,56.92,42.0,183.95,55.33,18.99,Lettuce
6.36,1.73,55.77,35.79,172.02,40.0,20.73,Lettuce
6.12,1.84,50.05,43.35,158.48,43.96,17.4,Lettuce
6.23,1.59,62.54,41.53,135.02,43.97,19.45,Lettuce
6.36,1.77,57.85,43.29,153.91,57.99,15.92,Lettuce
6.02,1.41,69.96,45.62,187.55,54.32,15.75,Lettuce
6.05,1.07,60.16,42.93,113.02,53.66,20.29,Lettuce
6.43,1.49,52.64,36.0,134.24,47.87,21.28,Lettuce
6.08,1.58,54.2,49.8,101.77,48.47,17.84,Lettuce
6.67,1.3,65.64,38.19,122.54,48.23,20.87,Lettuce
6.2,1.52,52.03,30.46,193.81,53.47,20.24,Lettuce
6.3,1.35,55.68,50.95,180.16,51.34,16.09,Lettuce
6.64,1.75,59.12,46.03,110.74,54.25,19.71,Lettuce
6.37,1.13,68.43,34.98,183.02,52.98,19.28,Lettuce
6.73,1.9,63.42,47.85,145.98,57.9,21.43,Lettuce
6.12,1.22,68.82,35.53,125.53,42.75,20.19,Lettuce
6.01,1.16,63.04,53.72,140.8,46.81,16.32,Lettuce
6.75,1.57,55.72,32.15,165.38,56.17,21.06,Lettuce
6.5,1.94,66.98,39.76,132.04,54.41,16.67,Lettuce
6.65,1.16,51.15,31.11,145.02,54.67,15.11,Lettuce
6.27,1.97,52.77,51.18,141.73,43.48,17.28,Lettuce
6.57,1.53,63.69,55.39,194.12,56.55,19.45,Lettuce
6.66,1.67,57.77,44.14,125.08,56.88,16.78,Lettuce
6.27,1.6,51.67,56.8,164.83,44.61,20.88,Lettuce
6.27,1.35,58.7,44.45,110.53,41.41,18.57,Lettuce
6.0,1.67,50.11,34.65,168.55,45.07,20.56,Lettuce
6.37,1.19,57.94,55.01,128.63,42.01,19.48,Lettuce
6.51,1.3,60.35,51.81,142.82,47.19,17.97,Lettuce
6.65,1.78,61.09,33.24,198.98,49.35,16.98,Lettuce
6.19,1.73,50.68,33.22,130.12,51.13,15.76,Lettuce
6.32,1.23,68.02,33.8,147.87,42.48,17.01,Lettuce
6.11,1.85,69.7,50.45,195.58,50.64,16.44,Lettuce
6.18,1.71,64.24,55.19,157.67,43.49,21.51,Lettuce
6.77,1.81,61.33,33.56,139.33,52.62,15.67,Lettuce
6.56,1.25,61.73,46.36,125.34,49.46,16.59,Lettuce
6.31,1.19,51.09,35.45,181.23,53.96,20.54,Lettuce
6.04,1.23,53.08,49.53,176.97,50.79,18.58,Lettuce
6.16,1.02,52.53,39.71,143.72,40.21,18.88,Lettuce
6.18,1.78,69.23,42.3,156.25,58.16,20.04,Lettuce
6.79,1.17,68.36,52.88,133.66,51.79,20.47,Lettuce
6.25,1.05,65.3,45.58,111.22,40.08,21.89,Lettuce
6.67,1.09,53.99,49.62,192.03,57.65,21.93,Lettuce
6.77,1.17,64.7,50.2,164.61,50.25,19.16,Lettuce
6.25,1.96,51.11,36.98,120.95,55.76,21.77,Lettuce
6.34,1.76,62.2,40.04,118.97,44.99,15.27,Lettuce
6.42,1.53,54.1,44.97,116.23,56.72,18.58,Lettuce
6.38,1.13,65.33,57.65,136.5,43.89,20.75,Lettuce
6.49,1.81,56.38,37.12,133.33,44.46,15.33,Lettuce
6.18,1.18,68.39,30.14,126.86,58.29,21.22,Lettuce
6.11,1.79,57.07,33.15,107.29,45.77,16.53,Lettuce
6.76,1.21,63.26,38.49,179.33,44.97,18.62,Lettuce
6.14,1.36,67.93,53.06,147.18,41.37,16.51,Lettuce
6.01,1.08,67.4,52.73,161.69,51.63,16.3,Lettuce
6.47,1.83,54.46,36.52,151.82,55.16,18.47,Lettuce
6.52,1.45,60.1,41.39,114.46,40.31,21.99,Lettuce
6.73,1.33,59.33,30.38,112.44,44.8,16.55,Lettuce
6.46,1.73,61.41,47.12,166.78,44.22,18.37,Lettuce
6.32,1.05,61.43,37.4,167.12,51.93,18.72,Lettuce
6.4,1.11,54.55,40.34,141.03,51.31,19.78,Lettuce
6.56,1.13,68.88,37.45,183.96,50.63,18.84,Lettuce
6.05,1.83,64.04,51.15,194.98,49.72,18.83,Lettuce
6.05,1.38,66.75,53.47,177.62,52.86,19.3,Lettuce
6.13,1.78,62.89,31.15,146.16,44.35,17.07,Lettuce
6.77,1.36,60.65,50.15,142.9,55.97,17.18,Lettuce
6.42,1.05,57.22,51.37,100.97,48.22,20.23,Lettuce
6.77,1.22,50.43,39.95,111.26,54.92,18.86,Lettuce
6.33,1.82,50.35,48.84,158.14,50.69,19.29,Lettuce
6.28,1.56,53.45,38.39,155.06,51.17,17.53,Lettuce
6.48,1.23,60.52,54.36,171.46,59.18,17.47,Lettuce
6.57,1.78,65.77,49.97,133.28,53.06,21.19,Lettuce
6.4,1.67,51.67,41.33,116.15,44.19,16.31,Lettuce
6.1,1.29,64.08,41.82,112.51,41.49,17.65,Lettuce
6.0,1.29,62.24,58.35,141.45,40.88,16.29,Lettuce
6.51,1.4,57.11,35.61,156.16,55.49,16.08,Lettuce
6.67,1.75,63.52,32.51,130.97,45.17,19.11,Lettuce
6.41,1.16,50.91,32.11,103.87,40.96,21.69,Lettuce
6.73,1.22,68.41,35.25,175.86,58.94,16.24,Lettuce
6.15,1.42,68.91,32.85,154.28,59.46,18.29,Lettuce
6.79,1.74,51.27,30.41,164.18,42.05,21.65,Lettuce
6.03,1.22,68.68,42.63,173.8,58.04,17.14,Lettuce
6.63,1.83,68.28,41.4,194.33,56.57,19.37,Lettuce
6.71,1.74,60.33,44.81,116.91,53.35,16.86,Lettuce
6.68,1.59,63.78,48.14,180.06,40.54,18.27,Lettuce
6.04,1.07,52.91,32.27,152.3,58.28,18.46,Lettuce
6.79,1.89,67.87,48.02,184.81,49.84,15.43,Lettuce
6.0,1.24,58.31,43.2,177.35,55.2,20.72,Lettuce
6.17,1.34,51.22,54.69,118.03,43.6,19.24,Lettuce
6.25,1.88,61.17,57.97,199.05,58.6,20.85,Lettuce
6.5,1.82,57.43,34.38,116.45,48.71,18.51,Lettuce
6.65,1.49,55.44,43.91,172.93,58.76,20.23,Lettuce
6.04,1.09,63.05,37.44,111.61,53.98,19.68,Lettuce
6.64,1.31,66.33,57.7,157.74,44.94,15.5,Lettuce
6.66,1.83,68.66,33.37,107.08,51.92,17.7,Lettuce
6.25,1.13,52.02,57.5,110.38,43.66,15.69,Lettuce
6.55,1.03,69.0,51.49,150.96,56.1,19.05,Lettuce
6.73,1.84,58.79,43.21,183.15,40.1,20.35,Lettuce
6.42,1.76,59.96,42.92,124.34,49.57,17.53,Lettuce
6.05,1.86,64.99,30.88,134.88,43.86,17.68,Lettuce
6.08,1.89,55.03,30.54,193.43,48.48,20.37,Lettuce
6.0,1.29,59.0,53.11,138.64,52.06,18.62,Lettuce
6.73,1.38,58.24,47.91,114.15,46.87,20.86,Lettuce
6.39,1.24,61.37,57.28,169.48,43.01,18.82,Lettuce
6.46,1.63,59.35,36.65,173.49,45.0,18.61,Lettuce
6.63,1.29,61.54,52.23,196.63,47.13,20.61,Lettuce
6.56,1.27,56.49,35.55,100.91,56.1,19.97,Lettuce
6.06,1.01,59.24,46.52,135.22,40.02,16.66,Lettuce
6.05,1.32,59.49,30.23,165.97,52.41,19.77,Lettuce
6.19,1.32,69.22,54.14,181.46,40.25,19.65,Lettuce
6.66,1.32,66.91,59.81,126.45,40.56,17.82,Lettuce
6.73,1.32,56.89,47.94,174.87,58.55,15.28,Lettuce
6.22,1.58,69.17,59.74,106.36,52.31,18.79,Lettuce
6.07,1.57,62.14,39.26,130.06,47.25,17.97,Lettuce
6.1,1.01,62.11,45.76,107.38,58.65,20.61,Lettuce
6.74,1.82,61.53,42.81,115.96,40.09,17.76,Lettuce
6.43,1.6,50.5,40.92,120.8,41.54,21.68,Lettuce
6.54,1.13,50.02,33.98,140.86,58.4,21.47,Lettuce
6.11,1.48,69.44,42.19,103.71,56.17,16.99,Lettuce
6.49,1.54,67.16,46.5,195.29,59.97,17.47,Lettuce
6.13,1.54,61.23,43.34,188.55,45.01,15.2,Lettuce
6.44,1.71,62.99,41.58,182.17,50.06,18.78,Lettuce
6.02,1.91,58.18,41.94,155.85,52.75,15.27,Lettuce
6.44,1.85,58.62,54.36,169.86,57.26,18.51,Lettuce
6.62,1.27,50.43,49.95,147.51,45.04,17.36,Lettuce
6.45,1.99,52.89,41.24,178.62,53.72,21.91,Lettuce
6.51,1.87,65.35,43.33,121.1,46.06,18.68,Lettuce
6.3,1.81,57.05,32.23,145.68,56.58,18.59,Lettuce
6.42,1.88,63.1,31.58,153.39,45.79,16.64,Lettuce
6.37,1.11,63.27,37.4,138.4,58.88,20.43,Lettuce
6.55,1.33,68.07,48.87,128.81,52.69,15.58,Lettuce
6.12,1.91,62.87,49.47,128.95,40.49,21.68,Lettuce
